,PassengerId,Survived,Name,Sex,Age,SibSp,Parch
106,107,1,"Salkjelsvik, Miss. Anna Kristine",female,21,0,0
107,108,1,"Moss, Mr. Albert Johan",male,,0,0
108,109,0,"Rekic, Mr. Tido",male,38,0,0
109,110,1,"Moran, Miss. Bertha",female,,1,0
110,111,0,"Porter, Mr. Walter Chamberlain",male,47,0,0
111,112,0,"Zabour, Miss. Hileni",female,14.5,1,0
112,113,0,"Barton, Mr. David John",male,22,0,0
113,114,0,"Jussila, Miss. Katriina",female,20,1,0
114,115,0,"Attalah, Miss. Malake",female,17,0,0
115,116,0,"Pekoniemi, Mr. Edvard",male,21,0,0
116,117,0,"Connors, Mr. Patrick",male,70.5,0,0
117,118,0,"Turpin, Mr. William John Robert",male,29,1,0
118,119,0,"Baxter, Mr. Quigg Edmond",male,24,0,1
119,120,0,"Andersson, Miss. Ellis Anna Maria",female,2,4,2
120,121,0,"Hickman, Mr. Stanley George",male,21,2,0
121,122,0,"Moore, Mr. Leonard Charles",male,,0,0
122,123,0,"Nasser, Mr. Nicholas",male,32.5,1,0
123,124,1,"Webber, Miss. Susan",female,32.5,0,0
124,125,0,"White, Mr. Percival Wayland",male,54,0,1
125,126,1,"Nicola-Yarred, Master. Elias",male,12,1,0
126,127,0,"McMahon, Mr. Martin",male,,0,0
127,128,1,"Madsen, Mr. Fridtjof Arne",male,24,0,0
128,129,1,"Peter, Miss. Anna",female,,1,1
129,130,0,"Ekstrom, Mr. Johan",male,45,0,0
130,131,0,"Drazenoic, Mr. Jozef",male,33,0,0
131,132,0,"Coelho, Mr. Domingos Fernandeo",male,20,0,0
132,133,0,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47,1,0
133,134,1,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29,1,0
134,135,0,"Sobey, Mr. Samuel James Hayden",male,25,0,0
135,136,0,"Richard, Mr. Emile",male,23,0,0
136,137,1,"Newsom, Miss. Helen Monypeny",female,19,0,2
137,138,0,"Futrelle, Mr. Jacques Heath",male,37,1,0
138,139,0,"Osen, Mr. Olaf Elon",male,16,0,0
139,140,0,"Giglio, Mr. Victor",male,24,0,0
140,141,0,"Boulos, Mrs. Joseph (Sultana)",female,,0,2
141,142,1,"Nysten, Miss. Anna Sofia",female,22,0,0
142,143,1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24,1,0
143,144,0,"Burke, Mr. Jeremiah",male,19,0,0
144,145,0,"Andrew, Mr. Edgardo Samuel",male,18,0,0
145,146,0,"Nicholls, Mr. Joseph Charles",male,19,1,1
146,147,1,"""Andersson, Mr. August Edvard (""""Wennerstrom"""")""",male,27,0,0
147,148,0,"""Ford, Miss. Robina Maggie """"Ruby""""""",female,9,2,2
148,149,0,"""Navratil, Mr. Michel (""""Louis M Hoffman"""")""",male,36.5,0,2
149,150,0,"Byles, Rev. Thomas Roussel Davids",male,42,0,0
150,151,0,"Bateman, Rev. Robert James",male,51,0,0
151,152,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22,1,0
152,153,0,"Meo, Mr. Alfonzo",male,55.5,0,0
153,154,0,"van Billiard, Mr. Austin Blyler",male,40.5,0,2
154,155,0,"Olsen, Mr. Ole Martin",male,,0,0
155,156,0,"Williams, Mr. Charles Duane",male,51,0,1
156,157,1,"""Gilnagh, Miss. Katherine """"Katie""""""",female,16,0,0
157,158,0,"Corn, Mr. Harry",male,30,0,0
158,159,0,"Smiljanic, Mr. Mile",male,,0,0
159,160,0,"Sage, Master. Thomas Henry",male,,8,2
160,161,0,"Cribb, Mr. John Hatfield",male,44,0,1
161,162,1,"""Watt, Mrs. James (Elizabeth """"Bessie"""" Inglis Milne)""",female,40,0,0
162,163,0,"Bengtsson, Mr. John Viktor",male,26,0,0
163,164,0,"Calic, Mr. Jovo",male,17,0,0
164,165,0,"Panula, Master. Eino Viljami",male,1,4,1
165,166,1,"""Goldsmith, Master. Frank John William """"Frankie""""""",male,9,0,2
166,167,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0,1
167,168,0,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45,1,4
168,169,0,"Baumann, Mr. John D",male,,0,0
169,170,0,"Ling, Mr. Lee",male,28,0,0
170,171,0,"Van der hoef, Mr. Wyckoff",male,61,0,0
171,172,0,"Rice, Master. Arthur",male,4,4,1
172,173,1,"Johnson, Miss. Eleanor Ileen",female,1,1,1
173,174,0,"Sivola, Mr. Antti Wilhelm",male,21,0,0
174,175,0,"Smith, Mr. James Clinch",male,56,0,0
175,176,0,"Klasen, Mr. Klas Albin",male,18,1,1
176,177,0,"Lefebre, Master. Henry Forbes",male,,3,1
177,178,0,"Isham, Miss. Ann Elizabeth",female,50,0,0
178,179,0,"Hale, Mr. Reginald",male,30,0,0
179,180,0,"Leonard, Mr. Lionel",male,36,0,0
180,181,0,"Sage, Miss. Constance Gladys",female,,8,2
181,182,0,"Pernot, Mr. Rene",male,,0,0
182,183,0,"Asplund, Master. Clarence Gustaf Hugo",male,9,4,2
183,184,1,"Becker, Master. Richard F",male,1,2,1
184,185,1,"Kink-Heilmann, Miss. Luise Gretchen",female,4,0,2
185,186,0,"Rood, Mr. Hugh Roscoe",male,,0,0
186,187,1,"""O'Brien, Mrs. Thomas (Johanna """"Hannah"""" Godfrey)""",female,,1,0
187,188,1,"""Romaine, Mr. Charles Hallace (""""Mr C Rolmane"""")""",male,45,0,0
188,189,0,"Bourke, Mr. John",male,40,1,1
189,190,0,"Turcin, Mr. Stjepan",male,36,0,0
190,191,1,"Pinsky, Mrs. (Rosa)",female,32,0,0
191,192,0,"Carbines, Mr. William",male,19,0,0
192,193,1,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,1,0
193,194,1,"Navratil, Master. Michel M",male,3,1,1
194,195,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44,0,0
195,196,1,"Lurette, Miss. Elise",female,58,0,0
196,197,0,"Mernagh, Mr. Robert",male,,0,0
197,198,0,"Olsen, Mr. Karl Siegwart Andreas",male,42,0,1
198,199,1,"""Madigan, Miss. Margaret """"Maggie""""""",female,,0,0
199,200,0,"""Yrois, Miss. Henriette (""""Mrs Harbeck"""")""",female,24,0,0
200,201,0,"Vande Walle, Mr. Nestor Cyriel",male,28,0,0
201,202,0,"Sage, Mr. Frederick",male,,8,2
202,203,0,"Johanson, Mr. Jakob Alfred",male,34,0,0
203,204,0,"Youseff, Mr. Gerious",male,45.5,0,0
204,205,1,"""Cohen, Mr. Gurshon """"Gus""""""",male,18,0,0
205,206,0,"Strom, Miss. Telma Matilda",female,2,0,1
206,207,0,"Backstrom, Mr. Karl Alfred",male,32,1,0
207,208,1,"Albimona, Mr. Nassef Cassem",male,26,0,0
208,209,1,"""Carr, Miss. Helen """"Ellen""""""",female,16,0,0
209,210,1,"Blank, Mr. Henry",male,40,0,0
210,211,0,"Ali, Mr. Ahmed",male,24,0,0
211,212,1,"Cameron, Miss. Clear Annie",female,35,0,0
212,213,0,"Perkin, Mr. John Henry",male,22,0,0
213,214,0,"Givard, Mr. Hans Kristensen",male,30,0,0
214,215,0,"Kiernan, Mr. Philip",male,,1,0
215,216,1,"Newell, Miss. Madeleine",female,31,1,0
216,217,1,"Honkanen, Miss. Eliina",female,27,0,0
217,218,0,"Jacobsohn, Mr. Sidney Samuel",male,42,1,0
218,219,1,"Bazzani, Miss. Albina",female,32,0,0
219,220,0,"Harris, Mr. Walter",male,30,0,0
220,221,1,"Sunderland, Mr. Victor Francis",male,16,0,0
221,222,0,"Bracken, Mr. James H",male,27,0,0
222,223,0,"Green, Mr. George Henry",male,51,0,0
223,224,0,"Nenkoff, Mr. Christo",male,,0,0
224,225,1,"Hoyt, Mr. Frederick Maxfield",male,38,1,0
225,226,0,"Berglund, Mr. Karl Ivar Sven",male,22,0,0
226,227,1,"Mellors, Mr. William John",male,19,0,0
227,228,0,"""Lovell, Mr. John Hall (""""Henry"""")""",male,20.5,0,0
228,229,0,"Fahlstrom, Mr. Arne Jonas",male,18,0,0
229,230,0,"Lefebre, Miss. Mathilde",female,,3,1
230,231,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35,1,0
231,232,0,"Larsson, Mr. Bengt Edvin",male,29,0,0
232,233,0,"Sjostedt, Mr. Ernst Adolf",male,59,0,0
233,234,1,"Asplund, Miss. Lillian Gertrud",female,5,4,2
234,235,0,"Leyson, Mr. Robert William Norman",male,24,0,0
235,236,0,"Harknett, Miss. Alice Phoebe",female,,0,0
236,237,0,"Hold, Mr. Stephen",male,44,1,0
237,238,1,"""Collyer, Miss. Marjorie """"Lottie""""""",female,8,0,2
238,239,0,"Pengelly, Mr. Frederick William",male,19,0,0
239,240,0,"Hunt, Mr. George Henry",male,33,0,0
240,241,0,"Zabour, Miss. Thamine",female,,1,0
241,242,1,"""Murphy, Miss. Katherine """"Kate""""""",female,,1,0
242,243,0,"Coleridge, Mr. Reginald Charles",male,29,0,0
243,244,0,"Maenpaa, Mr. Matti Alexanteri",male,22,0,0
244,245,0,"Attalah, Mr. Sleiman",male,30,0,0
245,246,0,"Minahan, Dr. William Edward",male,44,2,0
246,247,0,"Lindahl, Miss. Agda Thorilda Viktoria",female,25,0,0
247,248,1,"Hamalainen, Mrs. William (Anna)",female,24,0,2
248,249,1,"Beckwith, Mr. Richard Leonard",male,37,1,1
249,250,0,"Carter, Rev. Ernest Courtenay",male,54,1,0
250,251,0,"Reed, Mr. James George",male,,0,0
251,252,0,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29,1,1
252,253,0,"Stead, Mr. William Thomas",male,62,0,0
253,254,0,"Lobb, Mr. William Arthur",male,30,1,0
254,255,0,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41,0,2
255,256,1,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29,0,2
256,257,1,"Thorne, Mrs. Gertrude Maybelle",female,,0,0
257,258,1,"Cherry, Miss. Gladys",female,30,0,0
258,259,1,"Ward, Miss. Anna",female,35,0,0
259,260,1,"Parrish, Mrs. (Lutie Davis)",female,50,0,1
260,261,0,"Smith, Mr. Thomas",male,,0,0
261,262,1,"Asplund, Master. Edvin Rojj Felix",male,3,4,2
262,263,0,"Taussig, Mr. Emil",male,52,1,1
263,264,0,"Harrison, Mr. William",male,40,0,0
264,265,0,"Henry, Miss. Delia",female,,0,0
265,266,0,"Reeves, Mr. David",male,36,0,0
266,267,0,"Panula, Mr. Ernesti Arvid",male,16,4,1
267,268,1,"Persson, Mr. Ernst Ulrik",male,25,1,0
268,269,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58,0,1
269,270,1,"Bissette, Miss. Amelia",female,35,0,0
270,271,0,"Cairns, Mr. Alexander",male,,0,0
271,272,1,"Tornquist, Mr. William Henry",male,25,0,0
272,273,1,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41,0,1
273,274,0,"Natsch, Mr. Charles H",male,37,0,1
274,275,1,"""Healy, Miss. Hanora """"Nora""""""",female,,0,0
275,276,1,"Andrews, Miss. Kornelia Theodosia",female,63,1,0
276,277,0,"Lindblom, Miss. Augusta Charlotta",female,45,0,0
277,278,0,"""Parkes, Mr. Francis """"Frank""""""",male,,0,0
278,279,0,"Rice, Master. Eric",male,7,4,1
279,280,1,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35,1,1
280,281,0,"Duane, Mr. Frank",male,65,0,0
281,282,0,"Olsson, Mr. Nils Johan Goransson",male,28,0,0
282,283,0,"de Pelsmaeker, Mr. Alfons",male,16,0,0
283,284,1,"Dorking, Mr. Edward Arthur",male,19,0,0
284,285,0,"Smith, Mr. Richard William",male,,0,0
285,286,0,"Stankovic, Mr. Ivan",male,33,0,0
286,287,1,"de Mulder, Mr. Theodore",male,30,0,0
287,288,0,"Naidenoff, Mr. Penko",male,22,0,0
288,289,1,"Hosono, Mr. Masabumi",male,42,0,0
289,290,1,"Connolly, Miss. Kate",female,22,0,0
290,291,1,"""Barber, Miss. Ellen """"Nellie""""""",female,26,0,0
291,292,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19,1,0
292,293,0,"Levy, Mr. Rene Jacques",male,36,0,0
293,294,0,"Haas, Miss. Aloisia",female,24,0,0
294,295,0,"Mineff, Mr. Ivan",male,24,0,0
295,296,0,"Lewy, Mr. Ervin G",male,,0,0
296,297,0,"Hanna, Mr. Mansour",male,23.5,0,0
297,298,0,"Allison, Miss. Helen Loraine",female,2,1,2
298,299,1,"Saalfeld, Mr. Adolphe",male,,0,0
299,300,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50,0,1
300,301,1,"""Kelly, Miss. Anna Katherine """"Annie Kate""""""",female,,0,0
301,302,1,"McCoy, Mr. Bernard",male,,2,0
302,303,0,"Johnson, Mr. William Cahoone Jr",male,19,0,0
303,304,1,"Keane, Miss. Nora A",female,,0,0
304,305,0,"""Williams, Mr. Howard Hugh """"Harry""""""",male,,0,0
305,306,1,"Allison, Master. Hudson Trevor",male,0.92,1,2
306,307,1,"Fleming, Miss. Margaret",female,,0,0
307,308,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17,1,0
308,309,0,"Abelson, Mr. Samuel",male,30,1,0
309,310,1,"Francatelli, Miss. Laura Mabel",female,30,0,0
310,311,1,"Hays, Miss. Margaret Bechstein",female,24,0,0
311,312,1,"Ryerson, Miss. Emily Borie",female,18,2,2
312,313,0,"Lahtinen, Mrs. William (Anna Sylfven)",female,26,1,1
313,314,0,"Hendekovic, Mr. Ignjac",male,28,0,0
314,315,0,"Hart, Mr. Benjamin",male,43,1,1
315,316,1,"Nilsson, Miss. Helmina Josefina",female,26,0,0
316,317,1,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24,1,0
317,318,0,"Moraweck, Dr. Ernest",male,54,0,0
318,319,1,"Wick, Miss. Mary Natalie",female,31,0,2
319,320,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40,1,1
320,321,0,"Dennis, Mr. Samuel",male,22,0,0
321,322,0,"Danoff, Mr. Yoto",male,27,0,0
322,323,1,"Slayter, Miss. Hilda Mary",female,30,0,0
323,324,1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22,1,1
324,325,0,"Sage, Mr. George John Jr",male,,8,2
325,326,1,"Young, Miss. Marie Grice",female,36,0,0
326,327,0,"Nysveen, Mr. Johan Hansen",male,61,0,0
327,328,1,"Ball, Mrs. (Ada E Hall)",female,36,0,0
328,329,1,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31,1,1
329,330,1,"Hippach, Miss. Jean Gertrude",female,16,0,1
330,331,1,"McCoy, Miss. Agnes",female,,2,0
331,332,0,"Partner, Mr. Austen",male,45.5,0,0
332,333,0,"Graham, Mr. George Edward",male,38,0,1
333,334,0,"Vander Planke, Mr. Leo Edmondus",male,16,2,0
334,335,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,,1,0
335,336,0,"Denkoff, Mr. Mitto",male,,0,0
336,337,0,"Pears, Mr. Thomas Clinton",male,29,1,0
337,338,1,"Burns, Miss. Elizabeth Margaret",female,41,0,0
338,339,1,"Dahl, Mr. Karl Edwart",male,45,0,0
339,340,0,"Blackwell, Mr. Stephen Weart",male,45,0,0
340,341,1,"Navratil, Master. Edmond Roger",male,2,1,1
341,342,1,"Fortune, Miss. Alice Elizabeth",female,24,3,2
342,343,0,"Collander, Mr. Erik Gustaf",male,28,0,0
343,344,0,"Sedgwick, Mr. Charles Frederick Waddington",male,25,0,0
344,345,0,"Fox, Mr. Stanley Hubert",male,36,0,0
345,346,1,"""Brown, Miss. Amelia """"Mildred""""""",female,24,0,0
346,347,1,"Smith, Miss. Marion Elsie",female,40,0,0
347,348,1,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,,1,0
348,349,1,"""Coutts, Master. William Loch """"William""""""",male,3,1,1
349,350,0,"Dimic, Mr. Jovan",male,42,0,0
350,351,0,"Odahl, Mr. Nils Martin",male,23,0,0
351,352,0,"Williams-Lambert, Mr. Fletcher Fellows",male,,0,0
352,353,0,"Elias, Mr. Tannous",male,15,1,1
353,354,0,"Arnold-Franchi, Mr. Josef",male,25,1,0
354,355,0,"Yousif, Mr. Wazli",male,,0,0
355,356,0,"Vanden Steen, Mr. Leo Peter",male,28,0,0
356,357,1,"Bowerman, Miss. Elsie Edith",female,22,0,1
357,358,0,"Funk, Miss. Annie Clemmer",female,38,0,0
358,359,1,"McGovern, Miss. Mary",female,,0,0
359,360,1,"""Mockler, Miss. Helen Mary """"Ellie""""""",female,,0,0
360,361,0,"Skoog, Mr. Wilhelm",male,40,1,4
361,362,0,"del Carlo, Mr. Sebastiano",male,29,1,0
362,363,0,"Barbara, Mrs. (Catherine David)",female,45,0,1
363,364,0,"Asim, Mr. Adola",male,35,0,0
364,365,0,"O'Brien, Mr. Thomas",male,,1,0
365,366,0,"Adahl, Mr. Mauritz Nils Martin",male,30,0,0
366,367,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60,1,0
367,368,1,"Moussa, Mrs. (Mantoura Boulos)",female,,0,0
368,369,1,"Jermyn, Miss. Annie",female,,0,0
369,370,1,"Aubart, Mme. Leontine Pauline",female,24,0,0
370,371,1,"Harder, Mr. George Achilles",male,25,1,0
371,372,0,"Wiklund, Mr. Jakob Alfred",male,18,1,0
372,373,0,"Beavan, Mr. William Thomas",male,19,0,0
373,374,0,"Ringhini, Mr. Sante",male,22,0,0
374,375,0,"Palsson, Miss. Stina Viola",female,3,3,1
375,376,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,,1,0
376,377,1,"Landergren, Miss. Aurora Adelia",female,22,0,0
377,378,0,"Widener, Mr. Harry Elkins",male,27,0,2
378,379,0,"Betros, Mr. Tannous",male,20,0,0
379,380,0,"Gustafsson, Mr. Karl Gideon",male,19,0,0
380,381,1,"Bidois, Miss. Rosalie",female,42,0,0
381,382,1,"""Nakid, Miss. Maria (""""Mary"""")""",female,1,0,2
382,383,0,"Tikkanen, Mr. Juho",male,32,0,0
383,384,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35,1,0
384,385,0,"Plotcharsky, Mr. Vasil",male,,0,0
385,386,0,"Davies, Mr. Charles Henry",male,18,0,0
386,387,0,"Goodwin, Master. Sidney Leonard",male,1,5,2
387,388,1,"Buss, Miss. Kate",female,36,0,0
388,389,0,"Sadlier, Mr. Matthew",male,,0,0
389,390,1,"Lehmann, Miss. Bertha",female,17,0,0
390,391,1,"Carter, Mr. William Ernest",male,36,1,2
391,392,1,"Jansson, Mr. Carl Olof",male,21,0,0
392,393,0,"Gustafsson, Mr. Johan Birger",male,28,2,0
393,394,1,"Newell, Miss. Marjorie",female,23,1,0
394,395,1,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24,0,2
395,396,0,"Johansson, Mr. Erik",male,22,0,0
396,397,0,"Olsson, Miss. Elina",female,31,0,0
397,398,0,"McKane, Mr. Peter David",male,46,0,0
398,399,0,"Pain, Dr. Alfred",male,23,0,0
399,400,1,"Trout, Mrs. William H (Jessie L)",female,28,0,0
400,401,1,"Niskanen, Mr. Juha",male,39,0,0
401,402,0,"Adams, Mr. John",male,26,0,0
402,403,0,"Jussila, Miss. Mari Aina",female,21,1,0
403,404,0,"Hakkarainen, Mr. Pekka Pietari",male,28,1,0
404,405,0,"Oreskovic, Miss. Marija",female,20,0,0
405,406,0,"Gale, Mr. Shadrach",male,34,1,0
406,407,0,"Widegren, Mr. Carl/Charles Peter",male,51,0,0
407,408,1,"Richards, Master. William Rowe",male,3,1,1
408,409,0,"Birkeland, Mr. Hans Martin Monsen",male,21,0,0
409,410,0,"Lefebre, Miss. Ida",female,,3,1
410,411,0,"Sdycoff, Mr. Todor",male,,0,0
411,412,0,"Hart, Mr. Henry",male,,0,0
412,413,1,"Minahan, Miss. Daisy E",female,33,1,0
413,414,0,"Cunningham, Mr. Alfred Fleming",male,,0,0
414,415,1,"Sundman, Mr. Johan Julian",male,44,0,0
415,416,0,"Meek, Mrs. Thomas (Annie Louise Rowley)",female,,0,0
416,417,1,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",female,34,1,1
417,418,1,"Silven, Miss. Lyyli Karoliina",female,18,0,2
418,419,0,"Matthews, Mr. William John",male,30,0,0
419,420,0,"Van Impe, Miss. Catharina",female,10,0,2
420,421,0,"Gheorgheff, Mr. Stanio",male,,0,0
421,422,0,"Charters, Mr. David",male,21,0,0
422,423,0,"Zimmerman, Mr. Leo",male,29,0,0
423,424,0,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,28,1,1
